getParent,Cat(),Cat,<Cat: Cat getParent()>,0
play,void(),Animal,<Animal: void play()>,0
play,void(),Cat,<Cat: void play()>,0
play,void(),Dog,<Dog: void play()>,0
<init>,void(),Animal,<Animal: void <init>()>,0
<init>,void(),Cat,<Cat: void <init>()>,0
<init>,void(),Dog,<Dog: void <init>()>,0
<init>,void(),Pointer,<Pointer: void <init>()>,0
main,void(java.lang.String[]),Pointer,<Pointer: void main(java.lang.String[])>,0
playWith,Animal(Animal),Animal,<Animal: Animal playWith(Animal)>,0
morePlay,void(Cat),Pointer,<Pointer: void morePlay(Cat)>,0
setParent,void(Cat),Cat,<Cat: void setParent(Cat)>,0
test,void(int),Pointer,<Pointer: void test(int)>,0
sanitize,void(java.lang.Object),Pointer,<Pointer: void sanitize(java.lang.Object)>,0
