right,5,5,6
right,5,6,7
right,5,7,8
right,5,8,9
right,5,9,10
right,11,11,12
right,11,12,13
right,11,13,14
right,11,14,15
right,11,15,16
right,11,16,17
right,11,17,18
right,11,18,19
right,11,19,20
right,11,20,21
right,11,21,22
right,11,22,23
right,11,23,24
right,11,24,25
right,11,25,26
right,11,26,27
right,11,27,28
right,11,28,29
right,11,29,30
right,11,30,31
right,11,31,32
right,11,32,33
right,11,33,34
right,11,34,35
right,11,35,36
right,11,36,37
right,11,37,38
right,11,38,39
right,11,39,40
right,11,40,41
right,42,42,43
right,42,43,44
right,42,44,45
right,42,45,46
right,42,46,47
right,42,47,48
right,42,48,49
right,42,49,50
right,42,50,51
right,42,51,52
right,42,52,53
right,54,54,55
right,54,55,56
right,54,56,57
right,54,57,58
right,54,58,59
right,54,59,60
right,54,60,61
right,62,62,63
right,62,63,64
right,62,64,65
right,62,65,66
right,62,66,67
right,62,67,68
right,62,68,69
right,62,69,70
right,71,71,72
right,71,72,73
right,71,73,74
right,71,74,75
right,71,75,76
right,71,76,77
right,71,77,78
right,71,78,79
right,71,79,80
right,81,81,82
right,81,82,83
right,81,83,84
right,81,84,85
right,81,85,86
right,81,86,87
right,81,87,88
right,90,90,91
right,90,91,92
right,90,92,93
right,90,93,94
right,90,94,95
right,90,95,96
right,90,96,97
right,90,97,98
right,90,98,99
right,90,99,100
right,90,100,101
right,90,101,102
right,90,102,103
right,90,103,104
right,90,104,105
right,90,105,106
right,90,106,107
right,90,107,108
right,90,108,109
right,90,109,110
right,90,110,111
right,112,112,113
right,112,113,114
right,112,114,115
right,112,115,116
right,112,116,117
right,112,117,118
right,112,118,123
right,112,123,124
right,112,124,125
right,112,125,126
right,112,126,127
right,112,127,128
right,112,128,129
right,112,129,130
right,112,130,131
right,112,131,132
right,112,132,133
right,112,133,134
right,112,134,135
right,136,136,137
right,136,137,138
right,139,139,140
right,139,140,141
left,5,5,6
left,5,6,7
left,5,7,8
left,5,8,9
left,5,9,10
left,11,11,12
left,11,12,13
left,11,13,14
left,11,14,15
left,11,15,16
left,11,16,17
left,11,17,18
left,11,18,19
left,11,19,20
left,11,20,21
left,11,21,22
left,11,22,23
left,11,23,24
left,11,24,25
left,11,25,26
left,11,26,27
left,11,27,28
left,11,28,29
left,11,29,30
left,11,30,31
left,11,31,32
left,11,32,33
left,11,33,34
left,11,34,35
left,11,35,36
left,11,36,37
left,11,37,38
left,11,38,39
left,11,39,40
left,11,40,41
left,42,42,43
left,42,43,44
left,42,44,45
left,42,45,46
left,42,46,47
left,42,47,48
left,42,48,49
left,42,49,50
left,42,50,51
left,42,51,52
left,42,52,53
left,54,54,55
left,54,55,56
left,54,56,57
left,54,57,58
left,54,58,59
left,54,59,60
left,54,60,61
left,71,71,72
left,71,72,73
left,71,73,74
left,71,74,75
left,71,75,76
left,71,76,77
left,71,77,78
left,71,78,79
left,71,79,80
left,81,81,82
left,81,82,83
left,81,83,84
left,81,84,85
left,81,85,86
left,81,86,87
left,81,87,88
left,90,90,91
left,90,91,92
left,90,92,93
left,90,93,94
left,90,94,95
left,112,112,113
left,112,113,114
left,112,114,115
left,112,115,116
left,112,116,117
left,112,117,118
left,112,118,119
left,112,119,120
left,112,120,121
left,112,121,122
left,112,122,127
left,112,127,128
left,112,128,129
left,112,129,130
left,112,130,131
left,112,131,132
left,112,132,133
left,112,133,134
left,112,134,135
left,136,136,137
left,136,137,138
left,139,139,140
left,139,140,141
