right,5,5,6
right,5,6,7
right,5,7,8
right,5,8,9
right,5,9,10
right,11,11,12
right,11,12,13
right,11,13,14
right,11,14,15
right,11,15,16
right,11,16,17
right,11,17,18
right,11,18,19
right,11,19,20
right,11,20,21
right,11,21,22
right,11,22,23
right,11,23,24
right,11,24,25
right,11,25,26
right,11,26,27
right,11,27,28
right,11,28,29
right,11,29,30
right,11,30,31
right,11,31,32
right,11,32,33
right,11,33,34
right,11,34,35
right,11,35,36
right,11,36,37
right,11,37,38
right,11,38,39
right,11,39,40
right,11,40,41
right,11,41,42
right,11,42,43
right,11,43,44
right,11,44,45
right,46,46,47
right,46,47,48
right,46,48,49
right,46,49,50
right,46,50,51
right,52,52,53
right,52,53,54
right,52,54,55
right,52,55,56
right,52,56,57
right,58,58,59
right,58,59,60
right,58,60,61
right,58,61,62
right,58,62,63
right,64,64,65
right,64,65,66
right,64,66,67
right,64,67,68
right,64,68,69
right,70,70,71
right,70,71,72
right,70,72,73
right,70,73,74
right,70,74,75
right,76,76,77
right,76,77,78
right,85,85,86
right,85,86,87
right,85,87,88
right,85,88,89
right,85,89,90
right,85,90,91
right,85,91,92
right,85,92,94
right,85,94,95
right,85,95,96
right,85,96,97
right,85,97,98
right,85,98,99
right,85,99,100
right,85,100,101
right,85,101,102
right,85,102,103
right,85,103,104
right,85,104,105
right,85,105,107
right,85,107,108
right,85,108,109
right,85,109,110
right,85,110,111
right,85,111,112
right,113,113,114
right,113,114,115
right,113,115,116
right,113,116,117
right,118,118,119
right,118,119,120
right,118,120,121
right,118,121,122
right,118,122,123
right,124,124,125
right,124,125,126
right,124,126,127
right,124,127,128
right,124,128,129
right,130,130,131
right,130,131,132
right,130,132,133
right,130,133,134
right,130,134,135
right,130,135,136
right,137,137,138
right,137,138,139
right,145,145,146
right,147,147,148
right,147,148,149
