right,Comperators,foo,11
right,Comperators,foo,46
right,Comperators,foo,52
right,Comperators,foo,58
right,Comperators,foo,64
right,Comperators,foo,70
right,Comperators,foo,76
right,Comperators,foo,79
right,Comperators,foo,80
right,Comperators,foo,81
right,Comperators,foo,82
right,Comperators,foo,83
right,Comperators,foo,84
right,Comperators,foo,85
right,Comperators,foo,113
right,Comperators,foo,118
right,Comperators,foo,124
right,Comperators,foo,130
right,Comperators,foo,137
right,Comperators,foo,140
right,Comperators,foo,141
right,Comperators,foo,142
right,Comperators,foo,143
right,Comperators,foo,144
right,Comperators,foo,145
right,Comperators,foo,147
