0,target,Program,,,-1,target
1,target,List,,,0,target
2,target,CompilationUnit,,,1,target
3,target,List,,,2,target
4,target,List,,,2,target
5,target,ClassDecl,ForLoop,,4,target
6,target,Modifiers,,,5,target
7,target,List,,,6,target
8,target,Opt,,,5,target
9,target,List,,,5,target
10,target,List,,,5,target
11,target,MethodDecl,foo,,10,target
12,target,Modifiers,,,11,target
13,target,List,,,12,target
14,target,PrimitiveTypeAccess,void,,11,target
15,target,List,,,11,target
16,target,List,,,11,target
17,target,Opt,,,11,target
18,target,Block,,,17,target
19,target,List,,,18,target
20,target,VarDeclStmt,,,19,target
21,target,Modifiers,,,20,target
22,target,List,,,21,target
23,target,PrimitiveTypeAccess,int,,20,target
24,target,List,,,20,target
25,target,VariableDeclarator,a,,24,target
26,target,List,,,25,target
27,target,Opt,,,25,target
28,target,IntegerLiteral,,1,27,target
29,target,VarDeclStmt,,,19,target
30,target,Modifiers,,,29,target
31,target,List,,,30,target
32,target,PrimitiveTypeAccess,int,,29,target
33,target,List,,,29,target
34,target,VariableDeclarator,b,,33,target
35,target,List,,,34,target
36,target,Opt,,,34,target
37,target,IntegerLiteral,,3,36,target
38,right,ExprStmt,,,19,target
39,right,AssignSimpleExpr,,,38,right
40,right,VarAccess,a,,39,right
41,right,IntegerLiteral,,5,39,right
42,target,VarDeclStmt,,,19,target
43,target,Modifiers,,,42,target
44,target,List,,,43,target
45,target,PrimitiveTypeAccess,int,,42,target
46,target,List,,,42,target
47,target,VariableDeclarator,c,,46,target
48,target,List,,,47,target
49,target,Opt,,,47,target
50,target,AddExpr,,,49,target
51,target,VarAccess,a,,50,target
52,target,VarAccess,b,,50,target
53,left,VarDeclStmt,,,19,target
54,left,Modifiers,,,53,left
55,left,List,,,54,left
56,left,PrimitiveTypeAccess,int,,53,left
57,left,List,,,53,left
58,left,VariableDeclarator,z,,57,left
59,left,List,,,58,left
60,left,Opt,,,58,left
61,left,IntegerLiteral,,1,60,left
62,target,VarDeclStmt,,,19,target
63,target,Modifiers,,,62,target
64,target,List,,,63,target
65,target,PrimitiveTypeAccess,int,,62,target
66,target,List,,,62,target
67,target,VariableDeclarator,k,,66,target
68,target,List,,,67,target
69,target,Opt,,,67,target
70,target,IntegerLiteral,,7,69,target
71,left,VarDeclStmt,,,19,target
72,left,Modifiers,,,71,left
73,left,List,,,72,left
74,left,PrimitiveTypeAccess,int,,71,left
75,left,List,,,71,left
76,left,VariableDeclarator,y,,75,left
77,left,List,,,76,left
78,left,Opt,,,76,left
79,left,IntegerLiteral,,1,78,left
80,target,IfStmt,,,19,target
81,target,GTExpr,,,80,target
82,target,VarAccess,a,,81,target
83,target,IntegerLiteral,,1,81,target
84,target,Block,,,80,target
85,target,List,,,84,target
86,target,ExprStmt,,,85,target
87,target,AssignSimpleExpr,,,86,target
88,target,VarAccess,b,,87,target
89,target,VarAccess,a,,87,target
90,target,Opt,,,80,target
91,target,Block,,,90,target
92,target,List,,,91,target
93,target,ExprStmt,,,92,target
94,target,AssignSimpleExpr,,,93,target
95,target,VarAccess,b,,94,target
96,target,VarAccess,c,,94,target
97,target,VarDeclStmt,,,19,target
98,target,Modifiers,,,97,target
99,target,List,,,98,target
100,target,PrimitiveTypeAccess,int,,97,target
101,target,List,,,97,target
102,target,VariableDeclarator,j,,101,target
103,target,List,,,102,target
104,target,Opt,,,102,target
105,target,AddExpr,,,104,target
106,target,VarAccess,b,,105,target
107,target,VarAccess,c,,105,target
108,target,MethodDecl,fox,,10,target
109,target,Modifiers,,,108,target
110,target,List,,,109,target
111,target,PrimitiveTypeAccess,void,,108,target
112,target,List,,,108,target
113,target,List,,,108,target
114,target,Opt,,,108,target
115,target,Block,,,114,target
116,target,List,,,115,target
117,target,IfStmt,,,116,target
118,target,GTExpr,,,117,target
119,target,VarAccess,a,,118,target
120,target,IntegerLiteral,,1,118,target
121,target,Block,,,117,target
122,target,List,,,121,target
123,target,VarDeclStmt,,,122,target
124,target,Modifiers,,,123,target
125,target,List,,,124,target
126,target,PrimitiveTypeAccess,int,,123,target
127,target,List,,,123,target
128,target,VariableDeclarator,a,,127,target
129,target,List,,,128,target
130,target,Opt,,,128,target
