right,54,36,x,58
right,62,36,x,67
right,81,58,x,85
right,81,67,x,85
right,90,73,z,92
right,112,123,i,123
left,54,36,x,58
left,81,36,x,85
left,81,58,x,85
left,90,73,z,92
left,112,119,j,119
