right,11,x,36,37
right,42,y,46,49
right,54,x,58,61
right,62,x,67,70
right,71,z,73,76
right,81,x,85,88
right,90,z,92,95
right,112,i,123,126
left,11,x,36,37
left,42,y,46,49
left,54,x,58,61
left,71,z,73,76
left,81,x,85,88
left,90,z,92,95
left,112,j,119,122
